"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
5.255521050E-1,-2.962696366E-2,-4.963280167E-3,1.756237634E-2,3.479695660E-2
5.275518380E-1,-2.962696366E-2,-4.963280167E-3,1.756237634E-2,3.479695660E-2
5.295515710E-1,-3.145955876E-2,-9.239336476E-3,1.817324013E-2,3.748780911E-2
5.315513040E-1,-3.329215571E-2,-2.145664208E-2,1.878410578E-2,4.383603257E-2
5.335510370E-1,-3.145955876E-2,-2.756529488E-2,1.817324013E-2,4.560499946E-2
5.355499030E-1,-3.940080851E-2,-3.917173296E-2,2.183843218E-2,5.969728214E-2
5.375496360E-1,-3.878994286E-2,-4.589125142E-2,1.878410578E-2,6.295640756E-2
5.395493690E-1,-3.878994286E-2,-5.016730726E-2,2.000583708E-2,6.649550287E-2
5.415491020E-1,-4.184427112E-2,-5.627596006E-2,1.817324013E-2,7.244441568E-2
5.435488350E-1,-3.940080851E-2,-6.116288155E-2,2.061670274E-2,7.561990626E-2
5.455485680E-1,-3.634648025E-2,-7.338018715E-2,2.489275858E-2,8.558836324E-2
5.475483010E-1,-3.634648025E-2,-7.338018715E-2,2.489275858E-2,8.558836324E-2
5.495480340E-1,-4.001167417E-2,-7.215845585E-2,2.367102914E-2,8.583760505E-2
5.515478340E-1,-3.634648025E-2,-7.643451542E-2,2.855795063E-2,8.932445532E-2
5.535475670E-1,-3.817907721E-2,-7.276932150E-2,2.916881628E-2,8.719997667E-2
5.555473000E-1,-3.756821156E-2,-7.154759020E-2,2.855795063E-2,8.570872025E-2
5.575470330E-1,-3.329215571E-2,-6.421720982E-2,2.855795063E-2,7.776743671E-2
5.595467660E-1,-3.512475267E-2,-5.994115397E-2,2.794708498E-2,7.488477648E-2
5.615466320E-1,-3.634648025E-2,-5.261076987E-2,2.794708498E-2,6.978538021E-2
5.635463650E-1,-3.512475267E-2,-4.894557595E-2,2.855795063E-2,6.667063971E-2
5.655461650E-1,-3.878994286E-2,-3.428481147E-2,2.428189293E-2,5.718145056E-2
5.675459310E-1,-3.878994286E-2,-3.428481147E-2,2.428189293E-2,5.718145056E-2
5.695456640E-1,-4.489859566E-2,-3.184135258E-2,2.244929783E-2,5.944515623E-2
5.715453970E-1,-4.367686436E-2,-3.123048507E-2,1.756237634E-2,5.649290876E-2
5.735451300E-1,-5.039638281E-2,-3.123048507E-2,1.817324013E-2,6.201133166E-2
5.755448630E-1,-4.795292020E-2,-3.184135258E-2,1.878410578E-2,6.054912815E-2
5.775445960E-1,-5.039638281E-2,-3.306308016E-2,1.389718428E-2,6.185543146E-2
5.795443290E-1,-4.978551716E-2,-3.672827408E-2,1.206458826E-2,6.303267506E-2
5.815441290E-1,-4.673119262E-2,-4.039346427E-2,1.023199316E-2,6.261094156E-2
5.835438950E-1,-4.673119262E-2,-4.589125142E-2,5.345070735E-3,6.571439037E-2
5.855432280E-1,-3.756821156E-2,-5.383250117E-2,3.512475174E-3,6.573922865E-2
5.875429940E-1,-3.756821156E-2,-5.383250117E-2,3.512475174E-3,6.573922865E-2
5.895427600E-1,-3.512475267E-2,-5.383250117E-2,-1.374446787E-3,6.429288869E-2
5.915425260E-1,-2.840523422E-2,-5.505422875E-2,-5.039638374E-3,6.215483400E-2
5.935422920E-1,-2.474004216E-2,-5.444336683E-2,-9.315694682E-3,6.052216160E-2
5.955420580E-1,-2.168571576E-2,-5.444336683E-2,-1.175915636E-2,5.977146659E-2
5.975418910E-1,-1.618792862E-2,-5.444336683E-2,-1.725694351E-2,5.936270987E-2
